id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
10215	istimlak			istimla'k		istimlaɯ'm	istimlaɯ'	istimlaɯ'm				l
10216	istimna											l
10217	istimrar											l
10218	istimzaç											l
10219	istinabe											l
1022	antrenman											l
10220	istinad											l
10221	istinaden											l
10222	istinaf											l
10223	istinare											l
10224	istinas											l
10225	istinat			istina't	istinattʃɯ'	istina'dɯm	istinadɯ'	istinadɯ'm				l
10226	istinbat											l
10227	istinga											l
10228	istinkâf											l
10229	istinsah											l
1023	antrenör			antɾenø'ɾ		antɾenø'ɾym	antɾenøɾy'	antɾenøɾy'm				l
10230	istintac											l
10231	istintaç											l
10232	istintak											l
10233	istirahat			istiɾaha't	istiɾahattʃi'	istiɾaha'tim	istiɾahati'	istiɾahati'm				l
10234	istirdad											l
10235	istirdat											l
10236	istirham											l
10237	istiridye			istiɾi'dje		istiɾi'djejim	istiɾi'djeji	istiɾi'djem				l
10238	istirkâb											l
10239	istişare											l
1024	antrepo			antɯɾe'po	antɯɾe'podʒu	antɯɾe'pojum	antɯɾe'poju	antɯɾe'pom				l
10240	istişhad											l
10241	istişmam											l
10242	istisal											l
10243	istisgar											l
10244	istiska											l
10245	istiskal											l
10246	istismar											l
10247	istisna											l
10248	istitaat											l
10249	istitale											l
1025	antropo-											l
10250	istitrad											l
10251	istitrat											l
10252	istiva											l
10253	istizah											l
10254	istizan											l
10255	istizmac											l
10256	istofa											l
10257	istok											l
10258	istop			i'stop		i'stopum	i'stopu	i'stopum				l
10259	istor											l
1026	anüs			any's		any'sym	anysy'	anysy'm				l
10260	istralya											l
10261	istromaça											l
10262	istrongilos											l
10263	isyan			isja'n	isjandʒɯ'	isja'nɯm	isjanɯ'	isjanɯ'm				l
10264	it			i't	ittʃi'	i'tim	iti'	iti'm				l
10265	itab											l
10266	ita											l
10267	itaat			itaa't	itaattʃi'	itaa'tim	itaati'	itaati'm				l
10268	itab											l
10269	italik			itaɫi'k	itaɫiktʃi'	itaɫi'im	itaɫii'	itaɫii'm				l
1027	anud											l
10270	itap											l
10271	itboğan											l
10272	itburnu											l
10273	itdirseği											l
10274	iteklemek											l
10275	iterbiyum											l
10276	itfa											l
10277	ithaf			itha'f	ithaftʃɯ'	itha:'fɯm	itha:fɯ'	itha:fɯ'm				l
10278	ithal			itha'l		itha:'lim	itha:li'	itha:li'm				l
10279	itham			itha'm	ithamdʒɯ'	itha'mɯm	ithamɯ'	ithamɯ'm				l
1028	anut											l
10280	ithıyarı											l
10281	ithiyarı			ihtija:ɾi:'		ihtija:ɾi:'jim	ihtija:ɾi:ji'	ihtija:ɾi:'m				l
10282	itibar			i:tiba'ɾ		i:tiba:'ɾɯm	i:tiba:ɾɯ'	i:tiba:ɾɯ'm				l
10283	itibaren			i:tiba:'ɾen								l
10284	itici											l
10285	itidal											l
10286	itikâ											l
10287	itikâf											l
10288	itikâl											l
10289	itikad											l
1029	anyon			anjo'n		anjo'num	anjonu'	anjonu'm				l
10290	itila											l
10291	itilâ											l
10292	itilâf											l
10293	itilaf											l
10294	itilim											l
10295	itimad											l
10296	itimat			i:tima't	i:timattʃɯ'	i:tima'dɯm	i:timadɯ'	i:timadɯ'm				l
10297	itina			i:tina:'		i:tina:'jɯm	i:tina:jɯ'	i:tina:'m				l
10298	itiraf											l
10299	itiraz			i:tiɾa'z		i:tiɾa:'zɯm	i:tiɾa:zɯ'	i:tiɾa:zɯ'm				l
103	açıkağız											l
1030	anzarot											l
10300	itişli											l
10301	itişmek											l
10302	itisaf											l
10303	itiyad											l
10304	itiyat											l
10305	itizal											l
10306	itizar											l
10307	itki											l
10308	itlâf											l
10309	itlaf											l
1031	aort											l
10310	itlik											l
10311	itmam											l
10312	itmek											l
10313	itminan											l
10314	itriyum											l
10315	ittırad											l
10316	ittırat											l
10317	ittiba											l
10318	ittifak			ittifa'k		ittifa:'kɯm	ittifa:kɯ'	ittifa:kɯ'm				l
10319	ittihad			ittiha't	ittihattʃɯ'	ittiha'dɯm	ittihadɯ'	ittihadɯ'm				l
1032	ap-											l
10320	ittiham											l
10321	ittihat											l
10322	ittihaz											l
10323	ittika											l
10324	ittisa											l
10325	ittisal											l
10326	itüzümü											l
10327	ityan											l
10328	ityatağı											l
10329	ivaz											l
1033	apaçık			a'patʃɯk		a'patʃɯɯm	a'patʃɯɯ	a'patʃɯɯm				l
10330	ivdireç											l
10331	ivdirmek											l
10332	ivecen											l
10333	ivgi											l
10334	ivicac											l
10335	ividi			ivedi'		ivedi'jim	ivediji'	ivedi'm				l
10336	ivik											l
10337	ivinti											l
10338	ivirmek											l
10339	iviz											l
1034	apacı											l
10340	ivmek											l
10341	iyadet											l
10342	iye											l
10343	iyi			iji'		iji'jim	ijiji'	iji'm				l
10344	iyice			iji'dʒe								l
10345	iyod			ijo't	ijottʃu'	ijo'dum	ijodu'	ijodu'm				l
10346	iyod-											l
10347	iyon			ijo'n		ijo'num	ijonu'	ijonu'm				l
10348	iyot											l
10349	iz											l
1035	apandis			apandi's		apandi'sim	apandisi'	apandisi'm				l
10350	izac											l
10351	izaa											l
10352	izabe											l
10353	izaç											l
10354	izafe											l
10355	izafi			iza:fi'		iza:fi:'jim	iza:fi:ji'	iza:fi'm				l
10356	izafî											l
10357	izah											l
10358	izale											l
10359	izam											l
1036	apansız			a'pansɯz	a'pansɯzdʒɯ	a'pansɯzɯm	a'pansɯzɯ	a'pansɯzɯm				l
10360	izan											l
10361	izaz											l
10362	izbarço											l
10363	izbe											l
10364	izbiro											l
10365	izci			izdʒi'	izdʒidʒi'	izdʒi'm	izdʒi'jim	izdʒiji'				l
10366	izdiham											l
10367	izdivac											l
10368	izdivaç											l
10369	izdiyad											l
1037	apansızın											l
10370	izdiyat											l
10371	izdüşümü											l
10372	izerge											l
10373	izge											l
10374	izhar											l
10375	izin			izi'n	izindʒi'	izi'nim	izni'	izni'm				l
10376	izinli											l
10377	izlâl											l
10378	izlem											l
10379	izlemek											l
1038	apar											l
10380	izli											l
10381	izmarit											l
10382	izmavla											l
10383	izmihlâl											l
10384	izmihlal											l
10385	izmineral											l
10386	izn-											l
10387	izo-											l
10388	izolasyon											l
10389	izomer											l
1039	apar topar											l
10390	izzet											l
10391	jaguar											l
10392	jakar											l
10393	jaketatay			ʒake'tataj	ʒake'tatajdʒɯ	ʒake'tatajɯm	ʒake'tatajɯ	ʒake'tatajɯm				l
10394	jako											l
10395	jale											l
10396	jaluzi			ʒaɫuzi'		ʒaɫuzi'jim	ʒaɫuziji'	ʒaɫuzi'm				l
10397	jambon											l
10398	jandarma			ʒandaɾma'	ʒandaɾmadʒɯ'	ʒandaɾma'jɯm	ʒandaɾmajɯ'	ʒandaɾma'm				l
10399	janjanlı											l
104	açılama											l
1040	aparat											l
10400	janr											l
10401	jant			ʒa'nt	ʒanttʃɯ'	ʒa'ntɯm	ʒantɯ'	ʒantɯ'm				l
10402	jarse			ʒaɾse'	ʒaɾsedʒi'	ʒaɾse'jim	ʒaɾseji'	ʒaɾse'm				l
10403	jartiye											l
10404	jartiyer			ʒaɾtije'ɾ		ʒaɾtije'ɾim	ʒaɾtijeɾi'	ʒaɾtijeɾi'm				l
10405	je											l
10406	jelada											l
10407	jelatin			ʒeɫati'n	ʒeɫatindʒi'	ʒeɫati'nim	ʒeɫatini'	ʒeɫatini'm				l
10408	jeloz											l
10409	jeneralize											l
1041	aparmak											l
10410	jenet											l
10411	jenetik			geneti'k	genetiktʃi'	geneti'im	genetii'	genetii'm				l
10412	jenk											l
10413	jeo-											l
10414	jest			ʒe'st		ʒe'stim	ʒesti'	ʒesti'm				l
10415	jet			ʒe't	ʒettʃi'	ʒe'tim	ʒeti'	ʒeti'm				l
10416	jeton			ʒeto'n		ʒeto'num	ʒetonu'	ʒetonu'm				l
10417	jibon			ʒibo'n		ʒibo'num	ʒibonu'	ʒibonu'm				l
10418	jiga-											l
10419	jigolo											l
1042	apartıman			apaɾtma'n		apaɾtma'nɯm	apaɾtmanɯ'	apaɾtmanɯ'm				l
10420	jikle											l
10421	jile											l
10422	jilet			ʒiɫe't		ʒiɫe'tim	ʒiɫeti'	ʒiɫeti'm				l
10423	jimnastik											l
