id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
10066	isnad	y	y	isnat	isnattʃɯ	isna:tɯm	isna:dɯ	isna:dɯm				l
10067	isnat	n	n									l
10068	iso-	n	n									l
10069	isp-	n	n									l
1007	antet	y	y	antet	antettʃi	antetim	anteti	antetim				l
10070	ispalya	n	n									l
10072	ispanyol	y	y	ispanjoɫ	ispanjoɫdʒu	ispanjoɫuʒ	ispanjoɫu	ispanjoɫum				l
10073	ispanyolet	y	y	ispanjoɫet	ispanjoɫettʃi	ispanjoɫetim	ispanjoɫeti	ispanjoɫetim				l
10074	ispaolo	n	n									l
10075	ispari	n	n									l
10076	ispat	y	y	ispat	ispattʃɯ	ispa:tɯm	ispa:tɯ	ispa:tɯm				l
10077	ispati	y	y	ispa:ti	ispa:tidʒi	ispa:tijim	ispa:tiji	ispa:tim				l
10078	ispatlamak	y	y	ispatɫamak					ispatɫaɾ		ispatɫatɯɾ	l
10079	ispazmos	y	y	ispazmoz	ispazmozdʒu	ispazmozum	ispazmozu	ispazmozum				l
1008	anti-	n	n									l
10080	ispenc	n	n									l
10081	ispenç	y	y	ispentʃ	ispentʃtʃi	ispendʒim	ispendʒi	ispendʒim				l
10082	ispençiyar	n	n									l
10083	ispenciyar	y	y	ispendʒijaɾ	ispendʒijaɾdʒɯ	ispendʒijaɾɯm	ispendʒijaɾɯ	ispendʒijaɾɯm				l
10084	ispendik	n	n									l
10085	ispermeçet	y	n	ispeɾmetʃet	ispeɾmetʃettʃi	ispeɾmetʃetim	ispeɾmetʃeti	ispeɾmetʃetim				l
10086	ispinoz	y	y	ispinoz	ispinozdʒu	ispinozum	ispinozu	ispinozum				l
10087	ispir	n	n									l
10088	ispiralya	n	n									l
10089	ispirto	y	y	ispiɾto	ispiɾtodʒu	ispiɾtojum	ispiɾtoju	ispiɾtom				l
1009	antik	y	y	antik	antiktʃi	antiim	antii	antiim				l
10090	ispit	n	n									l
10091	ispitalya	n	n									l
10092	ispiyon	y	y	ispijon	ispijondʒu	ispijonum	ispijonu	ispijonum				l
10093	isporcu	y		spoɾdʒu	spoɾdʒu	spoɾdʒujum	spoɾdʒuju	spoɾdʒum				l
10094	ispritizma	y	y	ispiɾitizma	ispiɾitizmadʒɯ	ispiɾitizmajɯm	ispiɾitizmajɯ	ispiɾitizmam				l
10095	israf	y	y	isɾaf	isɾa:ftʃɯ	isɾa:fɯm	isɾa:fɯ	isɾa:fɯm				l
10096	israfil	n	n									l
10097	israil	n	n									l
10098	istadya	n	n									l
10099	istaka	y	y	istaka	istakadʒɯ	istakajɯm	istakajɯ	istakam				l
101	açıcı	y	y	atʃɯdʒɯ	atʃɯdʒɯ	atʃɯdʒɯjɯm	atʃɯdʒɯjɯ	atʃɯdʒɯm				l
1010	antika	y	y	antika	antikadʒɯ	antikajɯm	antikajɯ	antikam				l
10100	istakoz	y	y	istakoz	istakozdʒu	istakozum	istakozu	istakozum				l
10101	istalâktit	n	n									l
10102	istalagmit	n	n									l
10103	istalya	n	n									l
10104	istalyoz	n	n									l
10105	istampa	y	y	istampa	istampadʒɯ	istampajɯm	istampajɯ	istampam				l
10106	istanbulin	n	n									l
10107	istasyon	y	y	istasjon	istasjondʒu	istasjonum	istasjonu	istasjonum				l
10108	istatistik	y	y	istatistik	istatistiktʃi	istatistiim	istatistii	istatistiim				l
10109	istavrit	y	y	istavɾit	istavɾittʃi	istavɾitim	istavɾiti	istavɾitim				l
