id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
10318	hlh			hlh'		hll'h	hlhl'	hlhh'				l
10319	hlh			hlh'	hlhl'	hll'h	hlll'	hllh'				l
1032	h-											l
10320	hlh											l
10321	hlh											l
10322	hlh											l
10323	hll											l
10324	hll											l
10325	hlh											l
10326	llll											l
10327	hh											l
10328	hlll											l
10329	lh											l
1033	llh			l'lh		l'llh	l'lll	l'llh				l
10330	hlh											l
10331	hhh											l
10332	llh											l
10333	hl											l
10334	llh											l
10335	lll			lll'		lll'h	llll'	llh'				l
10336	lh											l
10337	lhl											l
10338	lhh											l
10339	lh											l
1034	lll											l
10340	hh											l
10341	llh											l
10342	ll											l
10343	ll			ll'		ll'h	lll'	lh'				l
10344	lll			ll'l								l
10345	lh			lh'	lhl'	ll'h	lll'	llh'				l
10346	lh-											l
10347	lh			lh'		ll'h	lll'	llh'				l
10348	lh											l
10349	h											l
1035	lhh			lhh'		lhl'h	lhll'	lhlh'				l
10350	lh											l
10351	lll											l
10352	lll											l
10353	lh											l
10354	lll											l
10355	lll			lhl'		lhl'h	lhhl'	lhh'				l
10356	lll											l
10357	lh											l
10358	lll											l
10359	lh											l
1036	lhh			l'hh	l'hhl	l'hlh	l'hll	l'hlh				l
10360	lh											l
10361	lh											l
10362	hhl											l
10363	hl											l
10364	hll											l
10365	hl			hl'	hll'	hh'	hl'h	hll'				l
10366	hlh											l
10367	hlh											l
10368	hlh											l
10369	hlh											l
1037	lhlh											l
10370	hlh											l
10371	hlll											l
10372	lhl											l
10373	hl											l
10374	hh											l
10375	lh			lh'	lhl'	ll'h	hl'	hh'				l
10376	lhl											l
10377	hh											l
10378	hh											l
10379	hlh											l
1038	lh											l
10380	hl											l
10381	hlh											l
10382	hhl											l
10383	hhh											l
10384	hhh											l
10385	hllh											l
10386	h-											l
10387	ll-											l
10388	llhh											l
10389	llh											l
1039	lh lh											l
10390	hh											l
10391	llh											l
10392	lh											l
10393	lllh			ll'lh	ll'lhl	ll'llh	ll'lll	ll'llh				l
10394	ll											l
10395	ll											l
10396	lll			lll'		lll'h	llll'	llh'				l
10397	hh											l
10398	hhl			hhl'	hhll'	hhl'h	hhll'	hhh'				l
