id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
19391	salapurya	y	y	saɫapu'ɾja	saɫapu'ɾjadʒɯ	saɫapu'ɾjajɯm	saɫapu'ɾjajɯ	saɫapu'ɾjam				l
19392	salaş	y	y	saɫaʃ	saɫaʃtʃɯ'	saɫa'ʃɯm	saɫaʃɯ'	saɫaʃɯ'm				l
19393	salaşpur	y	y	saɫaʃpu'ɾ	saɫaʃpuɾdʒu'	saɫaʃpu'ɾum	saɫaʃpuɾu'	saɫaʃpuɾu'm				l
19395	salata	y	y	saɫata'	saɫatadʒɯ'	saɫata'jɯm	saɫatajɯ'	saɫata'm				l
19396	salb	n	n									l
19397	salça	y	y	saɫtʃa'	saɫtʃadʒɯ'	saɫtʃa'jɯm	saɫtʃajɯ'	saɫtʃa'm				l
19398	saldırgan	y	s	saɫdɯɾga'n		saɫdɯɾga'nɯm						l
19399	saldırmak	y	y	saɫdɯɾma'k					saɫdɯɾɯ'ɾ		saɫdɯɾtɯ'ɾ	l
194	addedilmek	y	y	a'ddediɫmek					a'ddediɫiɾ		a'ddediɫtiɾ	l
1940	balar	n	n									l
19400	saldide	n	n									l
19401	salep	y	y	sa:ɫe'p	sa:ɫeptʃi'	sa:ɫe'bim	sa:ɫebi'	sa:ɫebi'm				l
19402	salgı	y	y	saɫgɯ'	saɫgɯdʒɯ'	saɫgɯ'jɯm	saɫgɯjɯ'	saɫgɯ'm				l
19403	salgın	y	y	saɫgɯ'n	saɫgɯndʒɯ'	saɫgɯ'nɯm	saɫgɯnɯ'	saɫgɯnɯ'm				l
19404	salhane	y	y	sa'ɫha:ne	sa'ɫha:nedʒi	sa'ɫha:nejim	sa'ɫha:neji	sa'ɫha:nem				l
19405	salhurde	n	n									l
19406	salı	y	y	saɫɯ'	saɫɯdʒɯ'	saɫɯ'jɯm	saɫɯjɯ'	saɫɯ'm				l
19407	salık	y	y	sa:ɫi'k	sa:ɫiktʃi'	sa:ɫi'kim	sa:ɫiki'	sa:ɫiki'm				l
19408	salım	n	n									l
19409	salıncak	y	y	saɫɯndʒa'k	saɫɯndʒaktʃɯ'	saɫɯndʒa'ɯm	saɫɯndʒaɯ'	saɫɯndʒaɯ'm				l
1941	balarısı	y	y	ba'ɫaɾɯsɯ	ba'ɫaɾɯdʒɯ	ba'ɫaɾɯsɯjɯm	ba'ɫaɾɯsɯnɯ	ba'ɫaɾɯm				l
19410	salınmak	y	y	saɫɯnma'k					saɫɯnɯ'ɾ		saɫɯndɯɾɯ'ɾ	l
19411	salıvermek	y	y	saɫɯ'veɾmek					saɫɯ'veɾiɾ		saɫɯ'veɾdiɾiɾ	l
19412	salib	y	y	sa:ɫi'p	sa:ɫiptʃi'	sa:ɫi'bim	sa:ɫibi'	sa:ɫibi'm				l
19413	salif	n	n									l
19414	salih	y	y	sa:ɫi'h	sa:ɫihtʃi'	sa:ɫi'him	sa:ɫihi'	sa:ɫihi'm				l
19415	salik	y	n	sa:ɫi'k	sa:ɫiktʃi'	sa:ɫi'kim	sa:ɫii'	sa:ɫiki'm				l
19416	salim	y	y	sa:ɫi'm	sa:ɫimdʒi'	sa:ɫi'mim	sa:ɫimi'	sa:ɫimi'm				l
19417	salip	y	y	sa:ɫi'p	sa:ɫiptʃi'	sa:ɫi'bim	sa:ɫibi'	sa:ɫibi'm				l
19418	salis	n	n									l
19419	salisilat	y	y	saɫisiɫa't	saɫisiɫattʃɯ'	saɫisiɫa'tɯm	saɫisiɫatɯ'	saɫisiɫatɯ'm				l
1942	balast	y	y	baɫa'st	baɫasttʃɯ'	baɫa'stɯm	baɫastɯ'	baɫastɯ'm				l
19420	salkı	n	n									l
19422	salkımak	n	n									l
19423	sallabaş	y	y	saɫɫabaʃ	saɫɫabaʃtʃɯ'	saɫɫaba'ʃɯm	saɫɫabaʃɯ'	saɫɫabaʃɯ'm				l
19424	sallamak	y	y	saɫɫama'k					saɫɫa'ɾ		saɫɫatɯ'ɾ	l
